feature,importance,rank
fire_hotspot_count_roll_min_30d,0,191
fire_hotspot_count_roll_std_30d,0,192
fire_hotspot_count_roll_var_30d,0,193
fire_hotspot_count_roll_std_14d,0,194
fire_hotspot_count_roll_var_14d,0,195
fire_hotspot_count_roll_mean_30d,0,196
fire_hotspot_count_roll_median_30d,0,197
fire_hotspot_count_roll_max_30d,0,198
wind_speed_kmh_roll_var_7d,0,199
wind_speed_kmh_roll_var_14d,0,200
wind_speed_kmh_roll_var_30d,0,201
