feature,importance,rank
temperature_c_roll_var_30d,0.00041988792,120
pm10_lag_1d,0.00041145086,121
temperature_c_lag_14d,0.0004108536,122
week_of_year,0.00040288357,123
humidity_pct_roll_var_14d,0.0003948856,124
wind_speed_kmh_roll_std_7d,0.00037474182,125
wind_speed_kmh_roll_var_14d,0.00036935255,126
temperature_c_roll_std_14d,0.00036589045,127
no2_lag_3d,0.00035933874,128
pm10_roll_std_30d,0.00035257573,129
pm25_roll_var_7d,0.00034331155,130
humidity_pct_lag_1d,0.00033637742,131
temperature_c_roll_var_14d,0.00029424118,132
wind_speed_kmh_roll_min_14d,0.00028251807,133
humidity_pct_roll_std_14d,0.00023908408,134
day_of_year,0.00023517928,135
temperature_c_lag_3d,0.00023299496,136
humidity_pct_roll_std_7d,0.00022095176,137
temperature_c_roll_var_3d,0.00021385738,138
wind_speed_kmh_roll_var_30d,0.00020965995,139
temperature_c_lag_7d,0.00020847828,140
is_holiday,0.00020344784,141
humidity_pct_roll_max_14d,0.00018928644,142
pm10_roll_var_30d,0.00018832779,143
precipitation_mm_lag_7d,0.00018075386,144
temperature_c_roll_std_7d,0.00018030709,145
humidity_pct_roll_mean_7d,0.00017911072,146
wind_speed_kmh_roll_var_7d,0.00014811303,147
temperature_c_roll_mean_30d,0.00013081191,148
humidity_pct_roll_var_3d,0.00012179612,149
precipitation_mm_lag_3d,0.00011892208,150
precipitation_mm_lag_2d,0.000116951756,151
humidity_pct_roll_var_7d,0.00011299047,152
day_of_week,0.000112281334,153
traffic_activity_proxy,0.00011128651,154
is_post_monsoon,0.00010475171,155
temperature_c_roll_min_30d,0.000103912294,156
temperature_c_roll_median_3d,9.1055146e-05,157
temperature_c_roll_max_14d,8.570411e-05,158
temperature_c_roll_min_7d,7.736387e-05,159
wind_speed_kmh_roll_min_30d,7.090623e-05,160
temperature_c_roll_var_7d,6.765081e-05,161
humidity_pct_roll_min_3d,6.148804e-05,162
is_festival,5.921725e-05,163
wind_speed_kmh_roll_max_30d,5.482259e-05,164
festival_window,5.1900643e-05,165
humidity_pct_roll_min_30d,3.205279e-05,166
is_stubble_season,2.7283017e-05,167
is_weekend,1.650359e-05,168
humidity_pct_roll_max_30d,1.1787758e-05,169
pm10_roll_max_30d,2.3525943e-06,170
is_winter,5.3692196e-07,171
fire_hotspot_count_lag_2d,0.0,172
fire_hotspot_count_lag_1d,0.0,173
fire_hotspot_count_lag_7d,0.0,174
fire_hotspot_count_lag_14d,0.0,175
fire_hotspot_count_lag_3d,0.0,176
temperature_c_roll_max_30d,0.0,177
fire_hotspot_count_roll_median_7d,0.0,178
fire_hotspot_count_roll_mean_7d,0.0,179
fire_hotspot_count_roll_var_3d,0.0,180
fire_hotspot_count_roll_std_3d,0.0,181
fire_hotspot_count_roll_min_3d,0.0,182
fire_hotspot_count_roll_max_3d,0.0,183
fire_hotspot_count_roll_median_3d,0.0,184
fire_hotspot_count_roll_mean_3d,0.0,185
fire_hotspot_count_roll_min_14d,0.0,186
fire_hotspot_count_roll_max_14d,0.0,187
fire_hotspot_count_roll_median_14d,0.0,188
fire_hotspot_count_roll_mean_14d,0.0,189
fire_hotspot_count_roll_var_7d,0.0,190
fire_hotspot_count_roll_std_7d,0.0,191
fire_hotspot_count_roll_min_7d,0.0,192
fire_hotspot_count_roll_max_7d,0.0,193
fire_hotspot_count_roll_std_14d,0.0,194
fire_hotspot_count_roll_var_14d,0.0,195
fire_hotspot_count_roll_mean_30d,0.0,196
fire_hotspot_count_roll_median_30d,0.0,197
fire_hotspot_count_roll_max_30d,0.0,198
fire_hotspot_count_roll_min_30d,0.0,199
fire_hotspot_count_roll_std_30d,0.0,200
fire_hotspot_count_roll_var_30d,0.0,201
