trial_number,model_name,feature_set,hyperparameters,validation_score_mae,objective_function,random_seed,selected
3,Ridge,Candidate_B_V3_Expanded,"{""alpha"": 3.907967156822881}",19.3992,inner_temporal_val_mae_2023,42,False
4,Ridge,Candidate_B_V3_Expanded,"{""alpha"": 0.008632008168602538}",20.4522,inner_temporal_val_mae_2023,42,False
5,Ridge,Candidate_B_V3_Expanded,"{""alpha"": 0.008629132190071854}",20.4522,inner_temporal_val_mae_2023,42,False
6,Ridge,Candidate_B_V3_Expanded,"{""alpha"": 0.002231010801867922}",20.4431,inner_temporal_val_mae_2023,42,False
7,Ridge,Candidate_B_V3_Expanded,"{""alpha"": 157.41890047456639}",19.2047,inner_temporal_val_mae_2023,42,False
8,Ridge,Candidate_B_V3_Expanded,"{""alpha"": 4.0428727350273315}",19.3831,inner_temporal_val_mae_2023,42,False
9,Ridge,Candidate_B_V3_Expanded,"{""alpha"": 17.71884735480682}",18.7613,inner_temporal_val_mae_2023,42,False
0,ElasticNet,Candidate_B_V3_Expanded,"{""alpha"": 0.1767016940294795, ""l1_ratio"": 0.9056428757689245}",18.1642,inner_temporal_val_mae_2023,42,True
1,ElasticNet,Candidate_B_V3_Expanded,"{""alpha"": 24.658329458549105, ""l1_ratio"": 0.588792635777333}",41.5332,inner_temporal_val_mae_2023,42,False
2,ElasticNet,Candidate_B_V3_Expanded,"{""alpha"": 0.008632008168602538, ""l1_ratio"": 0.19039506830258235}",19.0731,inner_temporal_val_mae_2023,42,False
3,ElasticNet,Candidate_B_V3_Expanded,"{""alpha"": 0.002231010801867922, ""l1_ratio"": 0.8295585311974416}",20.1118,inner_temporal_val_mae_2023,42,False
4,ElasticNet,Candidate_B_V3_Expanded,"{""alpha"": 4.0428727350273315, ""l1_ratio"": 0.6872653200164409}",26.1973,inner_temporal_val_mae_2023,42,False
5,ElasticNet,Candidate_B_V3_Expanded,"{""alpha"": 0.0013289448722869186, ""l1_ratio"": 0.9229188669457948}",20.3595,inner_temporal_val_mae_2023,42,False
6,ElasticNet,Candidate_B_V3_Expanded,"{""alpha"": 98.77700294007911, ""l1_ratio"": 0.24110519961044852}",66.3966,inner_temporal_val_mae_2023,42,False
7,ElasticNet,Candidate_B_V3_Expanded,"{""alpha"": 0.012329623163659839, ""l1_ratio"": 0.21506405886809044}",18.9128,inner_temporal_val_mae_2023,42,False
8,ElasticNet,Candidate_B_V3_Expanded,"{""alpha"": 0.06690421166498801, ""l1_ratio"": 0.522280788469014}",18.4356,inner_temporal_val_mae_2023,42,False
9,ElasticNet,Candidate_B_V3_Expanded,"{""alpha"": 0.3905441275210791, ""l1_ratio"": 0.3121062261782377}",20.2814,inner_temporal_val_mae_2023,42,False
0,RandomForest,Candidate_B_V3_Expanded,"{""n_estimators"": 450, ""max_depth"": 5, ""min_samples_split"": 4, ""min_samples_leaf"": 2, ""max_features"": 0.5}",16.6767,inner_temporal_val_mae_2023,42,False
1,RandomForest,Candidate_B_V3_Expanded,"{""n_estimators"": 200, ""max_depth"": 10, ""min_samples_split"": 9, ""min_samples_leaf"": 3, ""max_features"": ""sqrt""}",20.7258,inner_temporal_val_mae_2023,42,False
2,RandomForest,Candidate_B_V3_Expanded,"{""n_estimators"": 400, ""max_depth"": 7, ""min_samples_split"": 5, ""min_samples_leaf"": 6, ""max_features"": 0.7}",16.1908,inner_temporal_val_mae_2023,42,False
3,RandomForest,Candidate_B_V3_Expanded,"{""n_estimators"": 400, ""max_depth"": 9, ""min_samples_split"": 4, ""min_samples_leaf"": 5, ""max_features"": 0.7}",16.1035,inner_temporal_val_mae_2023,42,True
4,RandomForest,Candidate_B_V3_Expanded,"{""n_estimators"": 250, ""max_depth"": 4, ""min_samples_split"": 10, ""min_samples_leaf"": 8, ""max_features"": 0.7}",16.7079,inner_temporal_val_mae_2023,42,False
5,RandomForest,Candidate_B_V3_Expanded,"{""n_estimators"": 500, ""max_depth"": 7, ""min_samples_split"": 3, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",21.1677,inner_temporal_val_mae_2023,42,False
6,RandomForest,Candidate_B_V3_Expanded,"{""n_estimators"": 450, ""max_depth"": 6, ""min_samples_split"": 7, ""min_samples_leaf"": 5, ""max_features"": 0.5}",16.3907,inner_temporal_val_mae_2023,42,False
7,RandomForest,Candidate_B_V3_Expanded,"{""n_estimators"": 600, ""max_depth"": 10, ""min_samples_split"": 7, ""min_samples_leaf"": 8, ""max_features"": 0.5}",16.4573,inner_temporal_val_mae_2023,42,False
8,RandomForest,Candidate_B_V3_Expanded,"{""n_estimators"": 300, ""max_depth"": 6, ""min_samples_split"": 5, ""min_samples_leaf"": 7, ""max_features"": 0.5}",16.4849,inner_temporal_val_mae_2023,42,False
9,RandomForest,Candidate_B_V3_Expanded,"{""n_estimators"": 250, ""max_depth"": 9, ""min_samples_split"": 3, ""min_samples_leaf"": 8, ""max_features"": 0.7}",16.1867,inner_temporal_val_mae_2023,42,False
0,XGBoost,Candidate_B_V3_Expanded,"{""max_depth"": 3, ""learning_rate"": 0.05, ""n_estimators"": 250, ""subsample"": 0.7, ""colsample_bytree"": 0.5, ""reg_alpha"": 2.0, ""reg_lambda"": 1.0}",16.1987,inner_temporal_val_mae_2023,42,False
1,XGBoost,Candidate_B_V3_Expanded,"{""max_depth"": 4, ""learning_rate"": 0.04, ""n_estimators"": 250, ""subsample"": 0.6, ""colsample_bytree"": 0.8, ""reg_alpha"": 9.0, ""reg_lambda"": 3.0}",16.0922,inner_temporal_val_mae_2023,42,True
2,XGBoost,Candidate_B_V3_Expanded,"{""max_depth"": 2, ""learning_rate"": 0.01, ""n_estimators"": 150, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 3.0, ""reg_lambda"": 7.0}",28.2477,inner_temporal_val_mae_2023,42,False
3,XGBoost,Candidate_B_V3_Expanded,"{""max_depth"": 2, ""learning_rate"": 0.02, ""n_estimators"": 150, ""subsample"": 0.7, ""colsample_bytree"": 0.8, ""reg_alpha"": 2.0, ""reg_lambda"": 6.0}",17.7466,inner_temporal_val_mae_2023,42,False
4,XGBoost,Candidate_B_V3_Expanded,"{""max_depth"": 3, ""learning_rate"": 0.01, ""n_estimators"": 250, ""subsample"": 0.6, ""colsample_bytree"": 0.5, ""reg_alpha"": 10.0, ""reg_lambda"": 10.0}",19.6969,inner_temporal_val_mae_2023,42,False
