feature,group,v3_mean_abs_shap,v3_rank,v2_mean_abs_shap,v2_rank,rank_change,shap_diff,status
fire_hotspot_count_roll_var_3d,,0.0,999.0,0.0474680802129767,65.0,-934.0,-0.0474680802129767,DISAPPEARED
fire_hotspot_count_roll_var_7d,,0.0,999.0,0.0416561056504847,75.0,-924.0,-0.0416561056504847,DISAPPEARED
humidity_pct_lag_14d,,0.0,999.0,0.0496812089661268,63.0,-936.0,-0.0496812089661268,DISAPPEARED
humidity_pct_lag_1d,meteorology,0.1366294695348364,31.0,0.0556514205938308,59.0,28.0,0.0809780489410056,SHIFTED
humidity_pct_lag_2d,,0.0,999.0,0.0206677617961309,124.0,-875.0,-0.0206677617961309,DISAPPEARED
humidity_pct_lag_3d,,0.0,999.0,0.060839503977999,52.0,-947.0,-0.060839503977999,DISAPPEARED
humidity_pct_lag_7d,,0.0,999.0,0.122639845192068,29.0,-970.0,-0.122639845192068,DISAPPEARED
humidity_pct_roll_max_14d,,0.0,999.0,0.0509251280347957,60.0,-939.0,-0.0509251280347957,DISAPPEARED
humidity_pct_roll_max_30d,,0.0,999.0,0.1479549230047128,26.0,-973.0,-0.1479549230047128,DISAPPEARED
humidity_pct_roll_max_3d,,0.0,999.0,0.0331062226384345,93.0,-906.0,-0.0331062226384345,DISAPPEARED
humidity_pct_roll_max_7d,meteorology,0.14305961581799226,29.0,0.0223301339190674,120.0,91.0,0.12072948189892485,SHIFTED
humidity_pct_roll_mean_14d,,0.0,999.0,0.0572655448971916,56.0,-943.0,-0.0572655448971916,DISAPPEARED
humidity_pct_roll_mean_30d,,0.0,999.0,0.5138318583217402,14.0,-985.0,-0.5138318583217402,DISAPPEARED
humidity_pct_roll_mean_3d,meteorology,0.2353922245033118,18.0,0.0163352527212247,134.0,116.0,0.2190569717820871,SHIFTED
humidity_pct_roll_mean_7d,,0.0,999.0,0.080572131153896,43.0,-956.0,-0.080572131153896,DISAPPEARED
humidity_pct_roll_median_14d,,0.0,999.0,0.0282399459873014,101.0,-898.0,-0.0282399459873014,DISAPPEARED
humidity_pct_roll_median_30d,,0.0,999.0,0.1893037617552713,21.0,-978.0,-0.1893037617552713,DISAPPEARED
humidity_pct_roll_median_3d,,0.0,999.0,0.0268661697085813,107.0,-892.0,-0.0268661697085813,DISAPPEARED
humidity_pct_roll_median_7d,,0.0,999.0,0.0925364664345557,37.0,-962.0,-0.0925364664345557,DISAPPEARED
