date,year,actual_pm25,predicted_pm25,biomass_burning,calendar_seasonal,external_environmental,meteorology,pm25_persistence,wind_ventilation
2020-01-26,2020,338.25,346.32672496366393,-0.4115929397219044,0.0,146.70304685035828,0.23484774518751247,59.17786486767784,-2.5399739006994735
2020-01-27,2020,264.41,252.2112230882806,-0.2986327761053819,0.0,57.008002266696664,1.237398284965844,49.369113103991054,1.7328098678697472
2020-01-28,2020,339.78,350.636304582157,-0.20118647608365392,0.0,144.00605236335372,0.8234093790572994,60.4096982230745,2.435798751892461
2020-01-29,2020,316.48,319.69098891516546,-0.36477099278883146,0.0,118.67633764255766,0.22172812702522735,53.83280111203514,4.162360685474281
2020-01-30,2020,394.76,358.3210359833865,0.4579689126418658,0.0,145.1923349586669,2.874817913552802,62.74759410886914,3.885787748793233
2020-01-31,2020,217.58,215.94923777342387,0.4525375324915605,0.0,24.840908016460556,0.513481619027264,44.58220488478521,2.397573379796624
2020-02-01,2020,133.72,167.49683947985343,-0.19341493025364193,0.0,-39.69464909112203,0.871777249666826,61.233683598825095,2.116910311874936
2020-02-02,2020,165.16,188.19287917016817,-0.9528164696541253,0.0,16.29904831570466,0.21208996839139138,29.407021000267648,0.06500401459611209
2020-02-03,2020,113.95,135.11627578075593,-0.9117286352363071,0.0,-54.65033621044571,0.5836398500550781,41.475267905088636,5.456900530431678
2020-02-04,2020,219.65,179.1235223274233,1.0112554277082981,0.0,-25.308998818451794,1.8631810308309082,44.5848567120356,13.810695634437785
2020-02-05,2020,115.87,127.17289833790228,0.08969022362439334,0.0,-63.372697673588036,0.597396933261663,42.984700793817346,3.7112757199240862
2020-02-06,2020,192.14,168.33614916786445,0.5674398810173505,0.0,-31.181732690671254,2.225980917966377,43.01596193038941,10.545966788300008
2020-02-07,2020,192.08,188.52843426157494,-0.1330665157201823,0.0,3.5236107105141836,0.6544940659267711,34.218413692449786,7.1024499675417685
2020-02-08,2020,222.53,204.10377144570452,0.35756751014895916,0.0,29.199568660761518,1.1714029986047316,25.68401779951168,4.528682135814929
2020-02-09,2020,115.12,124.40597224844801,-1.047381904144219,0.0,-63.44704408549689,0.7100316609725864,38.99779544252254,6.030038793731304
2020-02-10,2020,153.68,181.0566084553176,-0.5958961907383109,0.0,21.59734559345649,0.3776492404779133,14.461126865155144,2.053850606104027
2020-02-11,2020,182.65,168.83961756585765,-0.06564875905762549,0.0,-30.146717536642868,1.960505427194596,46.07963261607544,7.849313477425399
2020-02-12,2020,160.86,148.76432005582137,0.18102209475352715,0.0,-41.6360947228634,1.5775990880029247,39.432735904906195,6.046525350159773
2020-02-13,2020,224.76,214.1519343778651,-0.39153674397110316,0.0,40.33073178395944,1.3477974246550195,29.137980573653394,0.5644289987059247
2020-02-14,2020,203.18,206.99791450852933,-0.5713079438213553,0.0,41.93533253511604,-0.04836494923720852,23.587472294323142,-1.0677497687137198
