method,nominal_coverage,dimension,slice_name,sample_count,empirical_coverage,coverage_error,mean_width_ugm3,median_width_ugm3,winkler_interval_score
gaussian_residual_global,0.8,Pollution_Regime,Low,245,0.9795918367346939,0.1795918367346938,58.6825291673766,59.869868033550176,61.43720354623072
gaussian_residual_global,0.8,Pollution_Regime,Moderate,330,0.8939393939393939,0.09393939393939388,58.65099117280183,59.869868033550176,67.38636617240554
gaussian_residual_global,0.8,Pollution_Regime,High,330,0.8090909090909091,0.009090909090909038,58.64010834368801,59.869868033550176,88.9374692102025
gaussian_residual_global,0.8,Pollution_Regime,Extreme,191,0.675392670157068,-0.12460732984293199,58.74170040813805,59.86986803355023,103.51278677212443
gaussian_residual_global,0.8,Extreme_Subset,Extreme_Episodes_ge_150,398,0.7311557788944724,-0.06884422110552768,58.68779591648831,59.869868033550176,98.92782229126905
gaussian_residual_global,0.9,Global,Overall_All_Folds,1096,0.9187956204379562,0.01879562043795613,75.2999490267502,76.84214371681779,97.66314046687481
gaussian_residual_global,0.9,Year,2022,365,0.915068493150685,0.015068493150684925,76.8366616481779,76.8421437168178,107.44950340518392
gaussian_residual_global,0.9,Year,2023,365,0.947945205479452,0.047945205479452024,76.83887187383195,76.8421437168178,89.0216273216769
gaussian_residual_global,0.9,Year,2024,366,0.8934426229508197,-0.006557377049180357,72.23271693383779,72.2327169338378,96.52141867866283
gaussian_residual_global,0.9,Season,Winter,271,0.8413284132841329,-0.05867158671586714,75.29432881921196,76.84214371681776,118.93759547026028
gaussian_residual_global,0.9,Season,Summer,276,0.9855072463768116,0.08550724637681162,75.30566812249114,76.84214371681779,80.36619662091287
gaussian_residual_global,0.9,Season,Monsoon,366,0.9863387978142076,0.08633879781420761,75.2969381286567,76.84214371681779,77.7633902164814
gaussian_residual_global,0.9,Season,Post-Monsoon,183,0.7978142076502732,-0.1021857923497268,75.30566812249113,76.84214371681776,132.04504094344324
gaussian_residual_global,0.9,Pollution_Regime,Low,245,0.9836734693877551,0.0836734693877551,75.30516923859422,76.84214371681779,77.964149048026
gaussian_residual_global,0.9,Pollution_Regime,Moderate,330,0.9696969696969697,0.0696969696969697,75.27773220259428,76.84214371681779,83.04931125189036
gaussian_residual_global,0.9,Pollution_Regime,High,330,0.8878787878787879,-0.012121212121212088,75.26376424264586,76.8421437168178,112.68084569706672
gaussian_residual_global,0.9,Pollution_Regime,Extreme,191,0.8010471204188482,-0.09895287958115184,75.39415624572457,76.84214371681776,122.23368398833821
gaussian_residual_global,0.9,Extreme_Subset,Extreme_Episodes_ge_150,398,0.8316582914572864,-0.0683417085427136,75.32497057970627,76.84214371681776,120.95537654346035
gaussian_residual_global,0.95,Global,Overall_All_Folds,1096,0.9443430656934306,-0.005656934306569328,89.23099249913147,91.56306172905258,114.49791292841978
gaussian_residual_global,0.95,Year,2022,365,0.9260273972602739,-0.023972602739726012,91.05232214720844,91.5630617290526,129.29408136704401
gaussian_residual_global,0.95,Year,2023,365,0.9726027397260274,0.022602739726027443,90.9383869338656,91.5630617290526,103.47430421680787
gaussian_residual_global,0.95,Year,2024,366,0.9344262295081968,-0.015573770491803196,85.71190973895095,86.07059094868347,110.7356607416452
gaussian_residual_global,0.95,Season,Winter,271,0.8929889298892989,-0.057011070110701056,89.7187265223604,91.5630617290526,139.84699087257115
gaussian_residual_global,0.95,Season,Summer,276,0.9855072463768116,0.035507246376811685,89.73223813559623,91.56306172905258,95.71433976619616
gaussian_residual_global,0.95,Season,Monsoon,366,0.9918032786885246,0.041803278688524625,88.24124477390642,88.04489678876367,89.90831300703287
gaussian_residual_global,0.95,Season,Post-Monsoon,183,0.8633879781420765,-0.0866120218579235,89.73223813559623,91.5630617290526,154.4676377433723
gaussian_residual_global,0.95,Pollution_Regime,Low,245,0.9918367346938776,0.04183673469387761,87.61735893249039,86.86398019495468,89.1861819200622
gaussian_residual_global,0.95,Pollution_Regime,Moderate,330,0.9787878787878788,0.028787878787878807,89.62653674168301,91.56306172905258,98.16638737307485
gaussian_residual_global,0.95,Pollution_Regime,High,330,0.9212121212121213,-0.028787878787878696,89.68230658304742,91.5630617290526,136.60348443503062
gaussian_residual_global,0.95,Pollution_Regime,Extreme,191,0.8638743455497382,-0.08612565445026177,89.8376782378372,91.5630617290526,136.98973980344525
gaussian_residual_global,0.95,Extreme_Subset,Extreme_Episodes_ge_150,398,0.8894472361809045,-0.06055276381909547,89.75523843199646,91.5630617290526,141.3730458737042
naive_historical_error,0.8,Global,Overall_All_Folds,1096,0.8138686131386861,0.013868613138686037,52.447098550908244,52.77932845548716,77.7753867806241
naive_historical_error,0.8,Year,2022,365,0.8,0.0,52.77932845548717,52.77932845548716,84.20433800985434
naive_historical_error,0.8,Year,2023,365,0.8301369863013699,0.03013698630136985,52.77932845548718,52.77932845548716,71.41039006441117
naive_historical_error,0.8,Year,2024,366,0.8114754098360656,0.011475409836065542,51.78445420570984,51.784454205709835,77.71160700671341
naive_historical_error,0.8,Season,Winter,271,0.6715867158671587,-0.12841328413284137,52.445256290432795,52.77932845548719,100.44889790816411
naive_historical_error,0.8,Season,Summer,276,0.8731884057971014,0.0731884057971014,52.447703705561395,52.77932845548716,61.91468568551518
naive_historical_error,0.8,Season,Monsoon,366,0.9480874316939891,0.14808743169398908,52.447703705561395,52.77932845548716,56.899760295704645
naive_historical_error,0.8,Season,Post-Monsoon,183,0.6666666666666666,-0.13333333333333341,52.447703705561395,52.779328455487146,109.87107683618284
naive_historical_error,0.8,Pollution_Regime,Low,245,0.9795918367346939,0.1795918367346938,52.45041084637711,52.77932845548716,55.76964277251614
naive_historical_error,0.8,Pollution_Regime,Moderate,330,0.8666666666666667,0.06666666666666665,52.441674164653655,52.77932845548716,64.90568592545308
naive_historical_error,0.8,Pollution_Regime,High,330,0.7515151515151515,-0.048484848484848575,52.438659394199775,52.77932845548714,89.46764029531886
naive_historical_error,0.8,Pollution_Regime,Extreme,191,0.6178010471204188,-0.1821989528795812,52.46680251314876,52.77932845548719,108.03698313844416
naive_historical_error,0.8,Extreme_Subset,Extreme_Episodes_ge_150,398,0.678391959798995,-0.12160804020100502,52.45186984563584,52.77932845548719,101.67959201419289
naive_historical_error,0.9,Global,Overall_All_Folds,1096,0.9032846715328468,0.003284671532846728,69.31279257828577,69.97767597137408,96.77648577684562
naive_historical_error,0.9,Year,2022,365,0.8986301369863013,-0.00136986301369868,69.97767597137408,69.97767597137408,107.1184792967954
naive_historical_error,0.9,Year,2023,365,0.9260273972602739,0.02602739726027392,69.97767597137408,69.97767597137408,86.33262794525949
naive_historical_error,0.9,Year,2024,366,0.8852459016393442,-0.014754098360655776,67.98665903469434,67.98665903469434,96.8780717706906
naive_historical_error,0.9,Season,Winter,271,0.8081180811808119,-0.09188191881918817,69.30910570850378,69.97767597137408,123.10288772732717
naive_historical_error,0.9,Season,Summer,276,0.9710144927536232,0.07101449275362315,69.31400365914752,69.97767597137408,75.71089863777355
naive_historical_error,0.9,Season,Monsoon,366,0.9863387978142076,0.08633879781420761,69.3140036591475,69.97767597137408,72.5036008067623
naive_historical_error,0.9,Season,Post-Monsoon,183,0.7759562841530054,-0.12404371584699458,69.3140036591475,69.97767597137408,138.1072126667575
naive_historical_error,0.9,Pollution_Regime,Low,245,0.9836734693877551,0.0836734693877551,69.31942139230853,69.97767597137408,72.88538288701271
naive_historical_error,0.9,Pollution_Regime,Moderate,330,0.9575757575757575,0.0575757575757575,69.3019368898343,69.97767597137408,79.24569977861815
naive_historical_error,0.9,Pollution_Regime,High,330,0.8727272727272727,-0.027272727272727337,69.29590350517769,69.97767597137408,113.15430012677497
naive_historical_error,0.9,Pollution_Regime,Extreme,191,0.7591623036649214,-0.1408376963350786,69.35222562477311,69.97767597137408,129.4141865723819
