feature_name,feature_group,dtype,missing_count,missing_rate,infinite_count,unique_count,variance,min,max,mean,median,standard_deviation,prediction_safe,source_module
no2_lag_7d,other_pollutant_historical,float64,0,0.0,0,352,619.6171,20.29,122.93,60.043644,58.18,24.892109,True,ml.src.features
no2_lag_14d,other_pollutant_historical,float64,0,0.0,0,345,579.333894,20.29,122.93,59.247452,58.18,24.069356,True,ml.src.features
temperature_c_lag_1d,meteorological,float64,0,0.0,0,176,42.834116,8.2,36.2,24.097808,25.9,6.544778,True,ml.src.features
temperature_c_lag_2d,meteorological,float64,0,0.0,0,176,42.834116,8.2,36.2,24.097808,25.9,6.544778,True,ml.src.features
temperature_c_lag_3d,meteorological,float64,0,0.0,0,175,42.883332,8.2,36.2,24.095616,25.9,6.548537,True,ml.src.features
temperature_c_lag_7d,meteorological,float64,0,0.0,0,175,43.405935,8.2,36.2,24.070411,25.9,6.588318,True,ml.src.features
temperature_c_lag_14d,meteorological,float64,0,0.0,0,173,44.217044,8.2,36.2,24.031233,25.9,6.64959,True,ml.src.features
humidity_pct_lag_1d,meteorological,float64,0,0.0,0,67,295.334683,20.0,91.0,64.021918,67.0,17.185304,True,ml.src.features
humidity_pct_lag_2d,meteorological,float64,0,0.0,0,67,294.096086,20.0,91.0,63.991781,67.0,17.14923,True,ml.src.features
humidity_pct_lag_3d,meteorological,float64,0,0.0,0,67,293.260078,20.0,91.0,63.969863,67.0,17.124838,True,ml.src.features
humidity_pct_lag_7d,meteorological,float64,0,0.0,0,67,292.94653,20.0,91.0,63.964384,67.0,17.115681,True,ml.src.features
humidity_pct_lag_14d,meteorological,float64,0,0.0,0,67,295.896688,20.0,91.0,64.112329,67.0,17.201648,True,ml.src.features
wind_speed_kmh_lag_1d,wind_ventilation,float64,0,0.0,0,155,24.213082,6.4,36.1,15.834247,15.5,4.920679,True,ml.src.features
wind_speed_kmh_lag_2d,wind_ventilation,float64,0,0.0,0,155,24.23561,6.4,36.1,15.832603,15.5,4.922968,True,ml.src.features
