representative_feature,feature_group,redundant_feature_count,redundant_features
pm25_roll_median_3d,pm25_historical,2,"pm10_roll_median_3d, pm25_roll_median_7d"
pm10_roll_mean_3d,other_pollutant_historical,5,"pm10_roll_mean_7d, pm10_roll_median_3d, pm10_roll_median_7d, pm25_roll_median_3d, pm25_roll_median_7d"
pm25_roll_std_3d,pm25_historical,1,pm25_roll_var_3d
pm25_roll_min_7d,pm25_historical,5,"pm10_roll_mean_7d, pm10_roll_min_7d, pm25_roll_mean_14d, pm25_roll_mean_7d, pm25_roll_median_7d"
pm10_roll_max_7d,other_pollutant_historical,9,"pm10_roll_max_14d, pm10_roll_mean_14d, pm10_roll_mean_7d, pm10_roll_median_14d, pm10_roll_median_7d, pm25_roll_mean_14d, pm25_roll_mean_7d, pm25_roll_median_14d, pm25_roll_median_7d"
pm25_roll_mean_14d,pm25_historical,7,"pm10_roll_mean_14d, pm10_roll_mean_30d, pm10_roll_median_14d, pm25_roll_mean_30d, pm25_roll_median_14d, pm25_roll_median_30d, pm25_roll_median_7d"
pm25_roll_median_7d,pm25_historical,3,"pm10_roll_median_14d, pm10_roll_median_7d, pm25_roll_median_14d"
pm10_roll_mean_7d,other_pollutant_historical,7,"pm10_roll_max_14d, pm10_roll_mean_14d, pm10_roll_median_14d, pm10_roll_median_7d, pm25_roll_mean_14d, pm25_roll_median_14d, pm25_roll_median_7d"
pm10_roll_mean_14d,other_pollutant_historical,6,"pm10_roll_mean_30d, pm10_roll_median_14d, pm10_roll_median_30d, pm10_roll_median_7d, pm25_roll_median_14d, pm25_roll_median_7d"
pm10_roll_max_14d,other_pollutant_historical,5,"pm10_roll_mean_14d, pm10_roll_median_14d, pm25_roll_mean_14d, pm25_roll_median_14d, pm25_roll_median_7d"
pm25_roll_std_7d,pm25_historical,3,"pm10_roll_std_7d, pm10_roll_var_7d, pm25_roll_var_7d"
pm25_roll_var_7d,pm25_historical,2,"pm10_roll_std_7d, pm10_roll_var_7d"
pm25_roll_max_14d,pm25_historical,4,"pm10_roll_max_14d, pm25_roll_mean_14d, pm25_roll_mean_30d, pm25_roll_median_14d"
pm25_roll_min_14d,pm25_historical,2,"pm10_roll_min_14d, pm25_roll_mean_14d"
pm25_roll_mean_30d,pm25_historical,5,"pm10_roll_mean_14d, pm10_roll_mean_30d, pm10_roll_median_30d, pm25_roll_median_14d, pm25_roll_median_30d"
pm25_roll_median_14d,pm25_historical,2,"pm10_roll_median_14d, pm25_roll_median_30d"
pm10_roll_median_7d,other_pollutant_historical,2,"pm10_roll_median_14d, pm25_roll_median_14d"
pm25_roll_std_14d,pm25_historical,3,"pm10_roll_std_14d, pm10_roll_var_14d, pm25_roll_var_14d"
