feature_name,attribution_group,mean_abs_shap,mean_shap,median_abs_shap,rank
pm25_lag_2d,pm25_persistence,0.07090669644727383,-0.008013748378814493,0.07248368383316757,46
pm25_roll_std_7d,pm25_persistence,0.06953906852566294,0.04415696338219229,0.029312823291677996,47
temperature_c_roll_mean_3d,meteorology,0.06574062050285581,-0.0602849283110352,0.0837414306125338,48
temperature_c_roll_std_30d,meteorology,0.06441731035386282,-0.005692388571316213,0.019587921165308338,49
fire_hotspot_count_lag_2d,biomass_burning,0.06392306322741123,-0.0063712105856335265,0.047265737511532555,50
fire_hotspot_count_roll_mean_3d,biomass_burning,0.06349855508853673,0.005478962600526318,0.05757428679206253,51
humidity_pct_lag_3d,meteorology,0.06083950397799902,0.008461924608733613,0.05005799300267962,52
humidity_pct_roll_min_14d,meteorology,0.059757683827017585,0.02657605361810835,0.04779962867354321,53
humidity_pct_roll_var_14d,meteorology,0.05958133338754234,-0.0017845187044187466,0.040371879478513305,54
fire_hotspot_count_roll_std_7d,biomass_burning,0.05786227375067029,-0.007232621841926193,0.015567076853024806,55
humidity_pct_roll_mean_14d,meteorology,0.05726554489719168,-0.01014404775340422,0.035713012127486,56
fire_hotspot_count_roll_mean_14d,biomass_burning,0.05688163375471993,-0.01790053323905318,0.03558002015818989,57
pm25_roll_median_14d,pm25_persistence,0.05637493385509526,0.056250854164348385,0.046854302909823085,58
humidity_pct_lag_1d,meteorology,0.05565142059383088,-4.992188726904586e-06,0.05477337617465045,59
humidity_pct_roll_max_14d,meteorology,0.05092512803479574,0.022353422765088445,0.04338711447945217,60
fire_hotspot_count_roll_max_3d,biomass_burning,0.050408477953823055,0.0008533665081586745,0.03333148791131468,61
humidity_pct_roll_std_3d,meteorology,0.05007294877469842,0.0008609808630858899,0.031195383671118907,62
humidity_pct_lag_14d,meteorology,0.049681208966126864,0.010592986985816991,0.028998178859419695,63
fire_hotspot_count_lag_7d,biomass_burning,0.048388523693147306,0.0006857930594154082,0.019843412728561736,64
fire_hotspot_count_roll_var_3d,biomass_burning,0.04746808021297674,0.006221903829203867,0.027815260664719097,65
pm25_lag_14d,pm25_persistence,0.04737964797003627,0.03434999151441863,0.02824239317665278,66
wind_speed_kmh_lag_7d,wind_ventilation,0.04728293120825711,-0.0038414201702728513,0.03453851484808896,67
temperature_c_roll_min_30d,meteorology,0.045341533587278285,0.013104981019777702,0.039140357836739983,68
wind_speed_kmh_lag_1d,wind_ventilation,0.044357851867133744,-0.0021416759510179523,0.022944322703591112,69
pm25_roll_median_30d,pm25_persistence,0.04431718471162002,0.027870111584307092,0.009105843986604497,70
wind_speed_kmh_roll_max_30d,wind_ventilation,0.04353492593193769,0.026824941078991908,0.010860855877963385,71
