date,group_a,group_b,effect_a,effect_b,effect_combined_ab,interaction_value,non_additive_flag
2023-12-06,wind_ventilation,meteorology,-16.01770805457079,-2.251756565258688,-19.13950778838847,-0.8700431685589933,False
2023-12-07,wind_ventilation,meteorology,-16.309740341411725,-1.7992881400758165,-19.161246272604046,-1.0522177911165045,False
2023-12-08,wind_ventilation,meteorology,-15.732147262712374,-0.2965953165807491,-17.113412717164294,-1.0846701378711714,False
2023-12-09,wind_ventilation,meteorology,-16.530134733308103,0.14688571409726592,-16.880825153823196,-0.49757613461235906,False
2023-12-10,wind_ventilation,meteorology,-17.64794541349596,-0.040923299085591225,-17.152452937810097,0.5364157747714557,False
2023-12-11,wind_ventilation,meteorology,-15.035740721517982,-0.04879737850916399,-14.747848584692804,0.3366895153343421,False
2023-12-12,wind_ventilation,meteorology,-17.563568916409622,-0.4284071644127607,-17.449379046251977,0.5425970345704059,False
2023-12-13,wind_ventilation,meteorology,-18.637620191298765,-0.514891021599567,-18.84281094216726,0.30970027073107076,False
2023-12-14,wind_ventilation,meteorology,-17.360606972128608,2.689161676825279,-14.497827154505615,0.1736181407977142,False
2023-12-15,wind_ventilation,meteorology,-20.299431231288906,-0.6788760771420357,-20.37278416981559,0.6055231386153537,False
2023-12-16,wind_ventilation,meteorology,-18.815936448936725,-0.7235660829434778,-18.933979393264735,0.6055231386154674,False
2023-12-17,wind_ventilation,meteorology,-17.760627147227865,-0.40832604567145836,-17.563430054283913,0.6055231386154105,False
2023-12-18,wind_ventilation,meteorology,-16.964101732153722,-0.6826640489715032,-17.029007097547947,0.6177586835772786,False
2023-12-19,wind_ventilation,meteorology,-18.46933917874452,-0.31513186652983904,-18.077065723943406,0.7074053213309526,False
2023-12-20,wind_ventilation,meteorology,-17.221860981149575,-0.7064349269247145,-17.517167089954228,0.4111288181200621,False
2023-12-21,wind_ventilation,meteorology,-16.40286774586866,0.7055490660480359,-15.667110749162532,0.030207930658093574,False
2023-12-22,wind_ventilation,meteorology,-16.74324293866971,0.4763520150343652,-16.03470869153682,0.2321822320985234,False
2023-12-23,wind_ventilation,meteorology,-16.626567553382017,0.242377001232569,-16.283999556801973,0.10019099534747511,False
2023-12-24,wind_ventilation,meteorology,-16.645258284031513,-0.4681882582277126,-16.927022455811937,0.18642408644728903,False
2023-12-25,wind_ventilation,meteorology,-18.141840971419924,-0.6134302641987688,-18.34744409442834,0.4078271411903529,False
2023-12-26,wind_ventilation,meteorology,-16.956253953870544,-0.28376939195447903,-16.619822545151067,0.6202008006739561,False
2023-12-27,wind_ventilation,meteorology,-16.351442378267222,0.13719979227670365,-15.799856338988718,0.4143862470018007,False
2023-12-28,wind_ventilation,meteorology,-16.122214225680693,-0.790081796421191,-16.708746867050877,0.20354915505100735,False
2023-12-29,wind_ventilation,meteorology,-15.526367209915804,0.2958057702932706,-15.403446132304566,-0.17288469268203244,False
2023-12-30,wind_ventilation,meteorology,-15.610319276110886,0.08542261156856057,-15.50391462746586,0.02098203707646462,False
2023-12-31,wind_ventilation,meteorology,-14.793988199864259,-0.039942395140599274,-15.190026394811753,-0.3560957998068943,False
2024-01-01,wind_ventilation,meteorology,-15.489481421865548,0.25662035821574136,-15.65850958580478,-0.4256485221549724,False
2024-01-02,wind_ventilation,meteorology,-14.841778913978715,-1.0328720831755618,-16.338230273104557,-0.4635792759502806,False
2024-01-03,wind_ventilation,meteorology,-14.468920361937478,-3.4981474932635592,-19.217107046635533,-1.250039191434496,False
2024-01-04,wind_ventilation,meteorology,-13.178526284001293,-3.5167686498840567,-19.44806132789182,-2.7527663940064713,True
2024-01-05,wind_ventilation,meteorology,-14.136797428682314,-4.106528928197918,-21.033200637791367,-2.7898742809111354,True
2024-01-06,wind_ventilation,meteorology,-15.714892228659721,-4.296936685355547,-22.80064334321952,-2.788814429204251,True
2024-01-07,wind_ventilation,meteorology,-13.991248437612114,-3.3276945925766768,-20.15845392515274,-2.8395108949639507,True
2024-01-08,wind_ventilation,meteorology,-13.353311841614016,-2.170952362958701,-18.111655616668088,-2.5873914120953714,True
2024-01-09,wind_ventilation,meteorology,-14.46546240371498,-1.7074147175345615,-19.0931913118568,-2.9203141906072574,True
2024-01-10,wind_ventilation,meteorology,-14.889642418291373,-2.5610320120830465,-19.98322357239391,-2.5325491420194908,True
2024-01-11,wind_ventilation,meteorology,-15.547258010639439,-3.5523708685110478,-21.27612965346418,-2.176500774313695,True
2024-01-12,wind_ventilation,meteorology,-16.23257028750936,-2.6586190641936014,-21.241751088651938,-2.3505617369489755,True
2024-01-13,wind_ventilation,meteorology,-16.261270384544332,-2.6966602393406447,-21.03525176168779,-2.0773211378028122,True
2024-01-14,wind_ventilation,meteorology,-16.159689615613672,-1.5760871954160507,-19.87882006266142,-2.1430432516316955,True
2024-01-15,wind_ventilation,meteorology,-16.419673476040202,-2.380648618841633,-21.676852849518298,-2.8765307546364625,True
2024-01-16,wind_ventilation,meteorology,-15.92732025361397,-3.4959879572779187,-22.11741545617724,-2.694107245285352,True
2024-01-17,wind_ventilation,meteorology,-17.09357104081886,-2.067268914464364,-21.805883018282486,-2.645043062999264,True
2024-01-18,wind_ventilation,meteorology,-16.151932103331035,-3.882134178071283,-22.748587646082967,-2.7145213646806496,True
2024-01-19,wind_ventilation,meteorology,-16.72770297992875,-1.0130686218940923,-19.44360389754155,-1.7028322957187072,False
2024-01-20,wind_ventilation,meteorology,-14.284743386778132,0.4526226259914097,-16.98649377762257,-3.154373016835848,True
2024-01-21,wind_ventilation,meteorology,-14.432067371253368,-0.5663201628632919,-18.244855951434488,-3.2464684173178284,True
2024-01-22,wind_ventilation,meteorology,-15.57993132988696,-1.078720476500564,-19.797512449603175,-3.1388606432156507,True
2024-01-23,wind_ventilation,meteorology,-15.111309970782372,-1.272287282478601,-18.97512679540955,-2.591529542148578,True
2024-01-24,wind_ventilation,meteorology,-14.886105408191781,-1.3837583834692282,-18.85386748280183,-2.584003691140822,True
2024-01-25,wind_ventilation,meteorology,-15.982326927630254,-1.1867323566677328,-19.927842895054425,-2.7587836107564385,True
2024-01-26,wind_ventilation,meteorology,-14.347476518838164,-1.0014728743170167,-18.112528614030623,-2.7635792208754424,True
2024-01-27,wind_ventilation,meteorology,-14.222379264767028,-0.6266219555311636,-18.072760950504176,-3.223759730205984,True
2024-01-28,wind_ventilation,meteorology,-16.926688429463525,-0.7415487920414421,-19.998157330338188,-2.329920108833221,True
2024-01-29,wind_ventilation,meteorology,-17.71580273275532,-1.306235459556376,-20.7883871282599,-1.7663489359482014,False
2024-01-30,wind_ventilation,meteorology,-16.728630628189876,-1.47859894103442,-19.51923270306702,-1.3120031338427225,False
2024-01-31,wind_ventilation,meteorology,-16.136334766318384,-1.3653691198312004,-18.811666917989783,-1.3099630318401978,False
2024-02-01,wind_ventilation,meteorology,-17.814428901432677,-0.7328659700974072,-20.489563035986862,-1.9422681644567774,False
2024-02-02,wind_ventilation,meteorology,-16.02988501825419,-1.229190901693073,-17.84572478047886,-0.5866488605315965,False
2024-02-03,wind_ventilation,meteorology,-11.657188509682868,2.638648139337562,-8.967934551968085,0.05060581837722111,False
2024-02-04,wind_ventilation,meteorology,-7.107575859580322,2.7200384310908987,-4.295995498092566,0.09154193039685765,False
2024-02-05,wind_ventilation,meteorology,-6.429125157566318,3.078594714048677,-3.4471409420683017,-0.0966104985506604,False
2024-02-06,wind_ventilation,meteorology,-6.150557829461945,3.254238943450588,-2.9929293845620464,-0.09661049855068882,False
2024-02-07,wind_ventilation,meteorology,-5.691669528491218,2.5412209060999373,-3.1551161249388997,-0.004667502547619051,False
2024-02-08,wind_ventilation,meteorology,-2.861718967591827,1.780160969168378,-0.8366473861338477,0.2449106122896012,False
2024-02-09,wind_ventilation,meteorology,0.5224608300452758,2.951578048265219,3.966733932956089,0.49269505464559415,False
2024-02-10,wind_ventilation,meteorology,0.6347014406976825,2.1601354156741195,2.962858984939402,0.1680221285675998,False
2024-02-11,wind_ventilation,meteorology,-1.646177468585421,1.8419279788120093,0.3637726387942166,0.16802212856762822,False
2024-02-12,wind_ventilation,meteorology,-3.247013668521589,2.551572011428931,-0.20274660244700726,0.492695054645651,False
2024-02-13,wind_ventilation,meteorology,-4.715009004936235,2.3771881008503897,-1.8408097182030758,0.49701118588276927,False
2024-02-14,wind_ventilation,meteorology,-5.060471980677988,2.993282750833174,-1.779357361017503,0.28783186882731115,False
2024-02-15,wind_ventilation,meteorology,-3.8200195536183514,1.7981798512072942,-1.6490726585892617,0.3727670438217956,False
2024-02-16,wind_ventilation,meteorology,-1.9482780982543773,1.2075983830976895,-0.36791267133475003,0.3727670438219377,False
2024-02-17,wind_ventilation,meteorology,-1.0599729901232138,0.8169226035941506,0.20660514101493277,0.44965552754399596,False
2024-02-18,wind_ventilation,meteorology,-1.0210058690247479,-6.066654077593057,-6.914132017912351,0.17352792870545386,False
2024-02-19,wind_ventilation,meteorology,-0.5050368706710628,-1.467467420090685,-1.961912535589903,0.010591755171844852,False
2024-02-20,wind_ventilation,meteorology,0.017166495857594555,-0.5587703527991437,-0.4114219124971328,0.13018194444441633,False
2024-02-21,wind_ventilation,meteorology,0.3027217063978469,1.498182528039166,1.800904234437013,0.0,False
2024-02-22,wind_ventilation,meteorology,0.6377519280117099,1.3240485436641904,1.9618004716759287,2.842170943040401e-14,False
2024-02-23,wind_ventilation,meteorology,-0.020408331404468072,1.0626136918762938,1.0422053604718542,2.842170943040401e-14,False
2024-02-24,wind_ventilation,meteorology,0.31307238448749786,1.1549865759855606,1.6604410532176814,0.19238209274462292,False
