date,scenario,target_group,observed_shap_value,delta_prediction,directional_consistency,counterfactual_shap_conflict
2020-02-24,biomass_low,biomass_burning,-1.275273588031063,0.17276764702469904,True,False
2020-02-25,biomass_low,biomass_burning,-1.549044166860492,0.05781841337332594,True,False
2020-02-26,biomass_low,biomass_burning,-1.761401632007272,0.5164061294795204,True,False
2020-02-27,biomass_low,biomass_burning,-1.535104505278904,0.055452066812392786,True,False
2020-02-28,biomass_low,biomass_burning,-2.21925212807466,1.2704094930415124,True,False
2020-02-29,biomass_low,biomass_burning,-2.1562663324566604,1.029996522555507,True,False
2020-03-01,biomass_low,biomass_burning,-4.504682552073635,5.484547916099103,True,False
2020-03-02,biomass_low,biomass_burning,-2.011963800854562,1.9720870962080852,True,False
2020-03-03,biomass_low,biomass_burning,-2.05274808112624,2.0935518932781463,True,False
2020-03-04,biomass_low,biomass_burning,-1.2168799230530165,0.42788438508552673,True,False
2020-03-05,biomass_low,biomass_burning,-1.1731324129579248,0.4065890153078513,True,False
2020-03-06,biomass_low,biomass_burning,-0.9657904930067934,0.3129619861533044,True,False
2020-03-07,biomass_low,biomass_burning,-0.5112718101054204,-0.042435556486658754,False,True
2020-03-08,biomass_low,biomass_burning,-0.0185619389028638,-1.1627345242859448,False,True
2020-03-09,biomass_low,biomass_burning,-0.2735736928586528,-0.3156996882400307,False,True
2020-03-10,biomass_low,biomass_burning,-0.4588049062280638,-0.11189725709492393,False,True
2020-03-11,biomass_low,biomass_burning,-0.6408179648563938,-0.11196855998188227,False,True
2020-03-12,biomass_low,biomass_burning,-0.8098398990040427,0.2231544307119151,True,False
2020-03-13,biomass_low,biomass_burning,-0.6455769717262186,-0.32108818292552144,False,True
