date,scenario,ood_flag,ood_score,ood_reason
2020-05-05,biomass_low,False,2.627096101611307,Normal feature distribution
2020-05-06,biomass_low,False,2.2349537353916817,Normal feature distribution
2020-05-07,biomass_low,False,2.4504202501114185,Normal feature distribution
2020-05-08,biomass_low,False,1.8870890706053556,Normal feature distribution
2020-05-09,biomass_low,False,2.630833843083124,Normal feature distribution
2020-05-10,biomass_low,False,2.6366110289815277,Normal feature distribution
2020-05-11,biomass_low,False,1.3466047294837966,Normal feature distribution
2020-05-12,biomass_low,False,1.889290254249698,Normal feature distribution
2020-05-13,biomass_low,False,1.2743502884810305,Normal feature distribution
2020-05-14,biomass_low,False,1.5709334814306906,Normal feature distribution
2020-05-15,biomass_low,False,1.3608578369097588,Normal feature distribution
2020-05-16,biomass_low,False,2.6366110289815277,Normal feature distribution
2020-05-17,biomass_low,False,2.134862037124366,Normal feature distribution
2020-05-18,biomass_low,False,1.5817669524262725,Normal feature distribution
2020-05-19,biomass_low,False,1.8926002345496522,Normal feature distribution
2020-05-20,biomass_low,False,2.1019333080759295,Normal feature distribution
2020-05-21,biomass_low,False,2.102218511038705,Normal feature distribution
2020-05-22,biomass_low,False,2.1386336095835254,Normal feature distribution
2020-05-23,biomass_low,False,2.1386336095835254,Normal feature distribution
2020-05-24,biomass_low,False,2.173827610565092,Normal feature distribution
2020-05-25,biomass_low,False,2.286871843750485,Normal feature distribution
2020-05-26,biomass_low,False,2.3999160769358783,Normal feature distribution
2020-05-27,biomass_low,False,2.3999160769358783,Normal feature distribution
2020-05-28,biomass_low,False,2.3999160769358783,Normal feature distribution
2020-05-29,biomass_low,False,3.1529241244546915,Normal feature distribution
2020-05-30,biomass_low,True,8.104834585265221,Extreme z-score (8.10) on feature 'humidity_pct_roll_var_3d'
2020-05-31,biomass_low,True,4.789952770445523,Extreme z-score (4.79) on feature 'humidity_pct_roll_var_7d'
2020-06-01,biomass_low,True,7.271611223435082,Extreme z-score (7.27) on feature 'temperature_c_roll_var_7d'
2020-06-02,biomass_low,True,7.449596625506006,Extreme z-score (7.45) on feature 'temperature_c_roll_var_7d'
