isolation_pass,max_untargeted_diff,bounds_pass,out_of_bounds_count,overall_plausibility_pass,date,scenario
True,0.0,True,0,True,2020-07-21,biomass_low
True,0.0,True,0,True,2020-07-22,biomass_low
True,0.0,True,0,True,2020-07-23,biomass_low
True,0.0,True,0,True,2020-07-24,biomass_low
True,0.0,True,0,True,2020-07-25,biomass_low
True,0.0,True,0,True,2020-07-26,biomass_low
True,0.0,True,0,True,2020-07-27,biomass_low
True,0.0,True,0,True,2020-07-28,biomass_low
True,0.0,True,0,True,2020-07-29,biomass_low
True,0.0,True,0,True,2020-07-30,biomass_low
True,0.0,True,0,True,2020-07-31,biomass_low
True,0.0,True,0,True,2020-08-01,biomass_low
True,0.0,True,0,True,2020-08-02,biomass_low
True,0.0,True,0,True,2020-08-03,biomass_low
True,0.0,True,0,True,2020-08-04,biomass_low
True,0.0,True,0,True,2020-08-05,biomass_low
True,0.0,True,0,True,2020-08-06,biomass_low
True,0.0,True,0,True,2020-08-07,biomass_low
True,0.0,True,0,True,2020-08-08,biomass_low
True,0.0,True,0,True,2020-08-09,biomass_low
True,0.0,True,0,True,2020-08-10,biomass_low
True,0.0,True,0,True,2020-08-11,biomass_low
True,0.0,True,0,True,2020-08-12,biomass_low
True,0.0,True,0,True,2020-08-13,biomass_low
True,0.0,True,0,True,2020-08-14,biomass_low
True,0.0,True,0,True,2020-08-15,biomass_low
True,0.0,True,0,True,2020-08-16,biomass_low
True,0.0,True,0,True,2020-08-17,biomass_low
True,0.0,True,0,True,2020-08-18,biomass_low
True,0.0,True,0,True,2020-08-19,biomass_low
True,0.0,True,0,True,2020-08-20,biomass_low
True,0.0,True,0,True,2020-08-21,biomass_low
True,0.0,True,0,True,2020-08-22,biomass_low
True,0.0,True,0,True,2020-08-23,biomass_low
True,0.0,True,0,True,2020-08-24,biomass_low
True,0.0,True,0,True,2020-08-25,biomass_low
True,0.0,True,0,True,2020-08-26,biomass_low
True,0.0,True,0,True,2020-08-27,biomass_low
True,0.0,True,0,True,2020-08-28,biomass_low
True,0.0,True,0,True,2020-08-29,biomass_low
True,0.0,True,0,True,2020-08-30,biomass_low
True,0.0,True,0,True,2020-08-31,biomass_low
True,0.0,True,0,True,2020-09-01,biomass_low
True,0.0,True,0,True,2020-09-02,biomass_low
True,0.0,True,0,True,2020-09-03,biomass_low
True,0.0,True,0,True,2020-09-04,biomass_low
True,0.0,True,0,True,2020-09-05,biomass_low
True,0.0,True,0,True,2020-09-06,biomass_low
True,0.0,True,0,True,2020-09-07,biomass_low
True,0.0,True,0,True,2020-09-08,biomass_low
True,0.0,True,0,True,2020-09-09,biomass_low
True,0.0,True,0,True,2020-09-10,biomass_low
True,0.0,True,0,True,2020-09-11,biomass_low
True,0.0,True,0,True,2020-09-12,biomass_low
True,0.0,True,0,True,2020-09-13,biomass_low
True,0.0,True,0,True,2020-09-14,biomass_low
True,0.0,True,0,True,2020-09-15,biomass_low
True,0.0,True,0,True,2020-09-16,biomass_low
True,0.0,True,0,True,2020-09-17,biomass_low
True,0.0,True,0,True,2020-09-18,biomass_low
