event_id,start_date,end_date,peak_date,observed_pm25,observed_prediction,dominant_group,biomass_cf_prediction,biomass_delta,wind_cf_prediction,wind_delta,meteorology_cf_prediction,meteorology_delta,combined_cf_prediction,combined_delta,confidence,ood_flag
EVT_037,2021-11-26,2021-11-26,2021-11-26,317.79,284.7794848382023,pm25_persistence,283.06824137864373,-1.7112434595585455,269.3001903308385,-15.479294507363761,289.60516442288224,4.8256795846799605,270.07413984476005,-14.705344993442225,HIGH,False
EVT_038,2021-12-01,2021-12-01,2021-12-01,318.5,285.29221909212356,pm25_persistence,284.3087745425298,-0.9834445495937416,267.9879211130537,-17.304297979069872,291.38825380979523,6.096034717671671,271.3854210078021,-13.906798084321451,HIGH,False
EVT_039,2021-12-05,2021-12-05,2021-12-05,317.5,283.35920274787276,pm25_persistence,258.48281285910394,-24.876389888768813,265.34181422185515,-18.017388526017612,280.66255106260604,-2.6966516852667155,241.63527164988878,-41.72393109798398,HIGH,False
EVT_040,2021-12-09,2021-12-10,2021-12-10,380.97,291.55073152714385,pm25_persistence,291.756029497894,0.20529797075016631,272.67738192734987,-18.873349599793983,289.694868687901,-1.8558628392428318,270.65655994167463,-20.894171585469223,HIGH,False
EVT_041,2021-12-13,2021-12-13,2021-12-13,330.51,287.7766495893147,pm25_persistence,287.91653606477496,0.13988647546028687,269.73602674774673,-18.040622841567938,287.2710933446721,-0.5055562446425483,269.59082739147397,-18.185822197840707,HIGH,False
EVT_042,2021-12-19,2021-12-19,2021-12-19,379.87,292.51262241085345,pm25_persistence,292.08661956709994,-0.4260028437535084,274.4682310264805,-18.044391384372943,291.84279913728244,-0.6698232735710121,272.08863929127347,-20.423983119579987,HIGH,False
EVT_043,2021-12-24,2021-12-28,2021-12-26,375.34,289.58110659089726,pm25_persistence,289.8273107609808,0.24620417008355844,270.39231491491165,-19.188791675985613,289.04868195749276,-0.5324246334045029,270.6511444544193,-18.929962136477968,HIGH,False
EVT_044,2021-12-30,2021-12-31,2021-12-30,318.36,288.32275522700263,pm25_persistence,288.68573558198915,0.3629803549865187,269.92029540299893,-18.4024598240037,287.6545077597027,-0.6682474672999206,269.87437151962,-18.448383707382618,HIGH,False
EVT_045,2022-01-03,2022-01-03,2022-01-03,390.95,292.01829521150063,pm25_persistence,291.99065951282586,-0.027635698674771447,274.39478883281663,-17.623506378684,290.1794827740659,-1.8388124374347399,272.95211171567263,-19.066183495828,HIGH,False
EVT_046,2022-01-07,2022-01-07,2022-01-07,350.38,289.4858440686675,pm25_persistence,291.50865159770655,2.022807529039028,270.8266068410206,-18.65923722764694,287.53362779110097,-1.9522162775665493,271.69110774972177,-17.794736318945752,HIGH,False
EVT_047,2022-01-11,2022-01-11,2022-01-11,357.67,292.71516625382793,pm25_persistence,292.55897119980625,-0.15619505402167988,274.8215638887983,-17.893602365029608,291.1945974988098,-1.5205687550181324,273.3036697211799,-19.411496532648016,HIGH,False
EVT_048,2022-01-13,2022-01-13,2022-01-13,351.68,290.11306170614927,pm25_persistence,289.87164676486856,-0.24141494128070917,275.31661831552424,-14.79644339062503,286.49359029145285,-3.61947141469642,268.7726244673357,-21.340437238813593,HIGH,False
EVT_049,2022-01-15,2022-01-16,2022-01-16,381.91,291.6782100806395,pm25_persistence,290.35216406749134,-1.3260460131481295,274.1269246164873,-17.55128546415216,287.0892250171963,-4.588985063443147,266.6679032991856,-25.01030678145389,HIGH,False
EVT_050,2022-01-18,2022-01-18,2022-01-18,321.04,287.76019584682786,pm25_persistence,287.03196586581214,-0.7282299810157156,270.4690714323533,-17.291124414474552,285.4885742126924,-2.2716216341354425,265.6722953450935,-22.08790050173434,HIGH,False
EVT_051,2022-01-21,2022-01-21,2022-01-21,327.57,290.5507379347692,pm25_persistence,289.60377519005715,-0.9469627447120388,275.47766789539514,-15.073070039374045,287.2253476632687,-3.3253902715005097,268.40344813808656,-22.147289796682628,HIGH,False
EVT_052,2022-01-23,2022-01-26,2022-01-23,358.61,294.7189220922783,pm25_persistence,294.2390423871349,-0.47987970514344624,278.889377371913,-15.829544720365334,290.1950714924007,-4.523850599877619,272.0309321140456,-22.687989978232736,HIGH,False
EVT_053,2022-01-30,2022-01-31,2022-01-31,360.99,293.375141179314,pm25_persistence,292.3463705948467,-1.0287705844673383,278.8812120306569,-14.493929148657116,289.38871724618036,-3.986423933133665,273.0598311474086,-20.315310031905426,HIGH,False
EVT_054,2022-11-02,2022-11-02,2022-11-02,355.74,261.74882827562664,pm25_persistence,218.7897488006457,-42.95907947498094,244.7116156199255,-17.037212655701126,259.98413596129814,-1.7646923143284994,203.1249023603194,-58.62392591530724,HIGH,False
