config_id,config_name,architecture,augmentation_ratio,corpus_type,seed,window_size,dimension,category,samples,mae,rmse
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),LSTM,0.25,8C,42,14,Season,Monsoon,366,21.67590922334559,28.301934301098246
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),LSTM,0.25,8C,42,14,Season,Post-Monsoon,183,51.44452131814817,63.45363308272095
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),LSTM,0.25,8C,42,14,Season,Summer,276,30.263362044434114,37.309936114047424
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),LSTM,0.25,8C,42,14,Season,Winter,257,49.72310597574026,60.27974263135763
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),LSTM,0.25,8C,42,14,Regime,Extreme,180,48.45361774459893,60.92030251768928
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),LSTM,0.25,8C,42,14,Regime,High,327,49.36294298995734,58.80975677757764
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),LSTM,0.25,8C,42,14,Regime,Low,245,16.442815775324814,20.91167930210582
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),LSTM,0.25,8C,42,14,Regime,Moderate,330,29.05282703120068,36.594053837487685
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),TCN,0.25,8C,42,14,Year,2022,351,29.88176727294922,40.952753897116764
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),TCN,0.25,8C,42,14,Year,2023,365,29.51129913330078,39.36879756456485
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),TCN,0.25,8C,42,14,Year,2024,366,31.32724380493164,41.45809401757771
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),TCN,0.25,8C,42,14,Season,Monsoon,366,17.451839447021484,22.125609653500227
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),TCN,0.25,8C,42,14,Season,Post-Monsoon,183,50.265933990478516,61.846675177156854
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),TCN,0.25,8C,42,14,Season,Summer,276,20.57211685180664,25.421748952898948
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),TCN,0.25,8C,42,14,Season,Winter,257,44.59904479980469,53.147561845094316
REAL_PLUS_8C_25,Real + 25% Phase 8C Baseline (Recommended),TCN,0.25,8C,42,14,Regime,Extreme,180,48.743656158447266,61.36978083715144
