Fold,Eval_Year,Is_Holdout,Model,Feature_Group,Feature_Count,Train_Rows,Eval_Rows,MAE,RMSE,R2,Median_AE
2,2023,False,Persistence,group_g_full_safe,191,1096,365,35.0352,48.5297,0.7751,25.18
2,2023,False,Ridge,group_g_full_safe,191,1096,365,29.2467,37.9149,0.8627,23.3702
2,2023,False,ElasticNet,group_g_full_safe,191,1096,365,27.4866,36.2382,0.8746,21.3484
2,2023,False,Random Forest,group_g_full_safe,191,1096,365,27.163,36.5954,0.8721,19.4693
2,2023,False,XGBoost,group_g_full_safe,191,1096,365,27.4705,37.0092,0.8692,19.6035
2,2023,False,Persistence,ablation_pm25_history_only,29,1096,365,35.0352,48.5297,0.7751,25.18
2,2023,False,Ridge,ablation_pm25_history_only,29,1096,365,27.4374,37.3977,0.8664,19.1472
2,2023,False,ElasticNet,ablation_pm25_history_only,29,1096,365,27.8214,38.1187,0.8612,20.055
2,2023,False,Random Forest,ablation_pm25_history_only,29,1096,365,27.9394,37.9169,0.8627,21.5197
2,2023,False,XGBoost,ablation_pm25_history_only,29,1096,365,28.9511,39.525,0.8508,20.5746
2,2023,False,Persistence,ablation_pm25_plus_weather,117,1096,365,35.0352,48.5297,0.7751,25.18
2,2023,False,Ridge,ablation_pm25_plus_weather,117,1096,365,28.7999,38.7918,0.8563,18.6602
2,2023,False,ElasticNet,ablation_pm25_plus_weather,117,1096,365,28.3702,38.3629,0.8594,19.489
2,2023,False,Random Forest,ablation_pm25_plus_weather,117,1096,365,27.1921,36.925,0.8698,19.2369
2,2023,False,XGBoost,ablation_pm25_plus_weather,117,1096,365,28.4618,38.7069,0.8569,20.0572
2,2023,False,Persistence,ablation_pm25_plus_fire,59,1096,365,35.0352,48.5297,0.7751,25.18
2,2023,False,Ridge,ablation_pm25_plus_fire,59,1096,365,26.9226,36.5491,0.8724,19.0378
2,2023,False,ElasticNet,ablation_pm25_plus_fire,59,1096,365,27.4993,37.3578,0.8667,20.0188
2,2023,False,Random Forest,ablation_pm25_plus_fire,59,1096,365,27.5077,37.1008,0.8685,20.5541
2,2023,False,XGBoost,ablation_pm25_plus_fire,59,1096,365,28.6877,38.983,0.8549,20.6662
2,2023,False,Persistence,ablation_pm25_plus_fire_transport,59,1096,365,35.0352,48.5297,0.7751,25.18
2,2023,False,Ridge,ablation_pm25_plus_fire_transport,59,1096,365,26.9226,36.5491,0.8724,19.0378
2,2023,False,ElasticNet,ablation_pm25_plus_fire_transport,59,1096,365,27.4993,37.3578,0.8667,20.0188
2,2023,False,Random Forest,ablation_pm25_plus_fire_transport,59,1096,365,27.5077,37.1008,0.8685,20.5541
2,2023,False,XGBoost,ablation_pm25_plus_fire_transport,59,1096,365,28.6877,38.983,0.8549,20.6662
2,2023,False,Persistence,ablation_pm25_plus_pollutants,87,1096,365,35.0352,48.5297,0.7751,25.18
2,2023,False,Ridge,ablation_pm25_plus_pollutants,87,1096,365,27.3503,37.105,0.8685,19.4601
2,2023,False,ElasticNet,ablation_pm25_plus_pollutants,87,1096,365,27.3381,37.1144,0.8684,18.8328
2,2023,False,Random Forest,ablation_pm25_plus_pollutants,87,1096,365,27.8467,37.9557,0.8624,21.2936
2,2023,False,XGBoost,ablation_pm25_plus_pollutants,87,1096,365,29.5229,40.5675,0.8428,20.6975
3,2024,True,Persistence,group_a_persistence,1,1461,366,34.388,47.8482,0.748,25.375
3,2024,True,Ridge,group_a_persistence,1,1461,366,33.6843,46.4326,0.7627,24.3704
3,2024,True,ElasticNet,group_a_persistence,1,1461,366,34.1232,46.5981,0.761,25.7014
3,2024,True,Random Forest,group_a_persistence,1,1461,366,30.4245,42.8813,0.7976,19.6804
3,2024,True,XGBoost,group_a_persistence,1,1461,366,29.9829,42.0729,0.8052,20.0783
3,2024,True,Persistence,group_b_pm25_history,29,1461,366,34.388,47.8482,0.748,25.375
3,2024,True,Ridge,group_b_pm25_history,29,1461,366,27.1022,37.263,0.8472,18.597
3,2024,True,ElasticNet,group_b_pm25_history,29,1461,366,27.2159,37.4434,0.8457,19.3375
3,2024,True,Random Forest,group_b_pm25_history,29,1461,366,26.6799,36.5189,0.8532,18.542
3,2024,True,XGBoost,group_b_pm25_history,29,1461,366,26.6607,38.1294,0.84,17.6465
3,2024,True,Persistence,group_c_pm25_meteorology,117,1461,366,34.388,47.8482,0.748,25.375
3,2024,True,Ridge,group_c_pm25_meteorology,117,1461,366,28.4634,38.867,0.8337,20.224
3,2024,True,ElasticNet,group_c_pm25_meteorology,117,1461,366,27.8673,37.9591,0.8414,20.3562
3,2024,True,Random Forest,group_c_pm25_meteorology,117,1461,366,27.1719,37.1122,0.8484,18.7916
3,2024,True,XGBoost,group_c_pm25_meteorology,117,1461,366,27.8989,39.5256,0.8281,19.6652
3,2024,True,Persistence,group_d_pm25_met_pollutants,175,1461,366,34.388,47.8482,0.748,25.375
3,2024,True,Ridge,group_d_pm25_met_pollutants,175,1461,366,27.4667,37.2436,0.8473,20.3423
3,2024,True,ElasticNet,group_d_pm25_met_pollutants,175,1461,366,27.4037,37.1859,0.8478,20.1324
3,2024,True,Random Forest,group_d_pm25_met_pollutants,175,1461,366,26.728,36.3116,0.8549,19.2037
3,2024,True,XGBoost,group_d_pm25_met_pollutants,175,1461,366,27.9351,39.0163,0.8325,20.2591
3,2024,True,Persistence,group_e_pm25_met_fire,147,1461,366,34.388,47.8482,0.748,25.375
3,2024,True,Ridge,group_e_pm25_met_fire,147,1461,366,27.4727,37.3822,0.8462,19.4631
3,2024,True,ElasticNet,group_e_pm25_met_fire,147,1461,366,27.5167,37.3151,0.8468,20.5737
3,2024,True,Random Forest,group_e_pm25_met_fire,147,1461,366,26.8094,36.4616,0.8537,18.8039
3,2024,True,XGBoost,group_e_pm25_met_fire,147,1461,366,27.6713,38.4439,0.8373,20.1319
3,2024,True,Persistence,group_f_pm25_met_fire_transport,147,1461,366,34.388,47.8482,0.748,25.375
3,2024,True,Ridge,group_f_pm25_met_fire_transport,147,1461,366,27.4727,37.3822,0.8462,19.4631
3,2024,True,ElasticNet,group_f_pm25_met_fire_transport,147,1461,366,27.5167,37.3151,0.8468,20.5737
3,2024,True,Random Forest,group_f_pm25_met_fire_transport,147,1461,366,26.8094,36.4616,0.8537,18.8039
3,2024,True,XGBoost,group_f_pm25_met_fire_transport,147,1461,366,27.6713,38.4439,0.8373,20.1319
3,2024,True,Persistence,group_g_full_safe,191,1461,366,34.388,47.8482,0.748,25.375
3,2024,True,Ridge,group_g_full_safe,191,1461,366,28.4862,38.7961,0.8344,20.2055
3,2024,True,ElasticNet,group_g_full_safe,191,1461,366,26.5903,35.9637,0.8577,19.8542
3,2024,True,Random Forest,group_g_full_safe,191,1461,366,25.9113,35.218,0.8635,18.1184
3,2024,True,XGBoost,group_g_full_safe,191,1461,366,27.03,38.0805,0.8404,19.0146
3,2024,True,Persistence,ablation_pm25_history_only,29,1461,366,34.388,47.8482,0.748,25.375
3,2024,True,Ridge,ablation_pm25_history_only,29,1461,366,27.1022,37.263,0.8472,18.597
3,2024,True,ElasticNet,ablation_pm25_history_only,29,1461,366,27.2159,37.4434,0.8457,19.3375
3,2024,True,Random Forest,ablation_pm25_history_only,29,1461,366,26.6799,36.5189,0.8532,18.542
3,2024,True,XGBoost,ablation_pm25_history_only,29,1461,366,26.6607,38.1294,0.84,17.6465
3,2024,True,Persistence,ablation_pm25_plus_weather,117,1461,366,34.388,47.8482,0.748,25.375
3,2024,True,Ridge,ablation_pm25_plus_weather,117,1461,366,28.4634,38.867,0.8337,20.224
3,2024,True,ElasticNet,ablation_pm25_plus_weather,117,1461,366,27.8673,37.9591,0.8414,20.3562
3,2024,True,Random Forest,ablation_pm25_plus_weather,117,1461,366,27.1719,37.1122,0.8484,18.7916
3,2024,True,XGBoost,ablation_pm25_plus_weather,117,1461,366,27.8989,39.5256,0.8281,19.6652
3,2024,True,Persistence,ablation_pm25_plus_fire,59,1461,366,34.388,47.8482,0.748,25.375
3,2024,True,Ridge,ablation_pm25_plus_fire,59,1461,366,26.3676,36.118,0.8564,18.9512
3,2024,True,ElasticNet,ablation_pm25_plus_fire,59,1461,366,26.6688,36.715,0.8516,19.3598
3,2024,True,Random Forest,ablation_pm25_plus_fire,59,1461,366,26.4322,35.8205,0.8588,18.5404
3,2024,True,XGBoost,ablation_pm25_plus_fire,59,1461,366,26.1888,36.3925,0.8542,19.0138
